,Random Forest,XGBoost,SVM
tahun,0.28128509439328697,0.30181015,0.5231662701098065
jalur,0.23481181037389953,0.17023064,0.21088046053013895
Status DTKS,0.004674509492841892,0.00727126,0.017490498590432346
Status P3KE,0.045424918081519175,0.012141743,0.03785371700159766
Asal Sekolah,0.023034804601086496,0.004294933,0.006843613782023574
Kab/Kota Sekolah,0.009233612792641522,0.0,0.012794787676798808
Provinsi Sekolah,0.0003235890479406977,0.0,0.0007661562074368676
Tempat Lahir,0.017489706656537096,0.010769036,0.009277114606075396
Jenis Kelamin,0.03845814623286444,0.13293502,0.11409222176418883
Alamat Tinggal,0.09993303364361025,0.049041327,0.056110444226502035
Pekerjaan Ayah,0.01094395259446151,0.0018194868,0.02228001545724002
Penghasilan Ayah,0.004097934749453403,0.043960735,0.05288068220430878
Status Ayah,0.002373404904494856,0.0,0.0029429717190429592
Pekerjaan Ibu,0.005540435579996045,0.0022804786,0.01403218578056407
Penghasilan Ibu,0.015914224622038044,0.0077571417,0.03936646758292305
Status Ibu,0.0005001644378634152,0.0,2.4256219765936758e-05
Jumlah Tanggungan,0.025488942607666997,0.021263579,0.02078800533723062
Kepemilikan Rumah,0.014910331517230127,0.20217313,0.023544252637063612
Tahun Perolehan,0.019371803478372886,0.0,0.015005076167108115
Sumber Listrik,0.03596650271631464,0.0,0.050887129376496996
Luas Tanah,0.014589657021768817,0.00065155764,0.01853919945643489
Luas Bangunan,0.02033832265225749,0.0034796102,0.019299913422430086
Sumber Air,0.014752992408876741,0.021236261,0.047261819578212
MCK,0.009948613175301317,0.0,0.04122318781841583
Jarak Pusat Kota (KM),0.024512388616800745,0.0008762734,0.01892905367325094
User Pencalonan,0.0,0.0,0.0
Prestasi,0.004650720813696231,0.0037744045,0.017253493694749256
SNMPN,0.0,0.0,0.0
SBMPN,0.0,0.0,0.0
Seleksi Mandiri PTN,0.0035554020758715955,0.00040440462,0.02183965289310588
SNBP,0.006001288491841626,0.0,0.029976391603316145
UTBK-SNBT,0.011687401156442458,0.0018288686,0.02469923996754562
Seleksi Mandiri PTS,0.00018629106302303267,0.0,2.8622937353617316e-18
