,Random Forest,XGBoost,SVM
tahun,0.216959948967478,0.5735957,0.15842611122766914
#,0.1358441553940482,0.21780525,0.09043854846772303
NIK,0.022207192447120636,0.03750799,0.024529529883469164
NISN,0.035753499148379685,0.023607094,0.027072628879957986
No. Handphone,0.036553809471756654,0.028422082,0.058609699746214654
jalur,0.2326747792077967,0.0027142768,0.06058965766737305
Status DTKS,0.0022987320530825925,0.0023160633,0.005119048879948197
Status P3KE,0.020776576572752885,0.011409008,0.02093560844613218
Asal Sekolah,0.05156067803199304,0.00252816,0.02643490855073292
Kab/Kota Sekolah,0.005930100123198993,0.0061010737,0.02165659973778613
Provinsi Sekolah,0.003815089749905813,0.0,0.016516322036165643
Tempat Lahir,0.013303657386030551,0.008665478,0.01281920686339564
Tanggal Lahir,0.02368215595972187,0.0034856019,0.02144457991142055
Jenis Kelamin,0.012175601342470237,0.0015644316,0.015563379808001931
Alamat Tinggal,0.05651302693993239,0.0041006436,0.014364872417241005
Alamat Email,0.05793565735202301,0.0045696017,0.014815186042536066
Pekerjaan Ayah,0.009612156702656348,0.0064323107,0.008449484438398524
Penghasilan Ayah,0.0017125962238596067,0.017474711,0.004391261194776221
Status Ayah,0.0006850045045868629,0.0,0.00020574085465969755
Pekerjaan Ibu,0.0020948929151496354,0.004312944,0.009278270831034802
Penghasilan Ibu,0.0009006177391405484,0.0,0.005884164174964973
Status Ibu,0.0005098607375153958,0.0,0.007069967807514695
Jumlah Tanggungan,0.006595841995208786,0.0036202813,0.008797884578726666
Kepemilikan Rumah,0.0018190874091107267,0.0,0.00844826876418045
Tahun Perolehan,0.003060425059425098,0.0,0.009038338734317634
Sumber Listrik,0.0015293497448728819,0.0,0.01955613134189912
Luas Tanah,0.002528091830581475,0.0,0.004229281872172
Luas Bangunan,0.0022320057159392957,0.0,0.0017101609075898994
Sumber Air,0.0009869369168896613,0.0,0.0010491432938731125
MCK,0.0007997062219338602,0.0,0.0027790942770671723
Jarak Pusat Kota (KM),0.002779707025363931,0.005653389,0.010412645250498342
Tanggal Dicalonkan,0.020570510838045945,0.010526147,0.01642958869630127
User Pencalonan,0.0,0.0,0.0
Prestasi,0.00215021916280636,0.0,0.004430878162130964
SNMPN,0.0,0.0,0.0
SBMPN,0.0,0.0,0.0
Seleksi Mandiri PTN,0.001152399747928865,0.0,0.009145578272938971
SNBP,0.003632780108130474,0.017648445,0.011384821478135458
UTBK-SNBT,0.0066631492531629205,0.005939342,0.023019768898415192
Seleksi Mandiri PTS,0.0,0.0,5.411975844323476e-19
