,Random Forest,XGBoost,SVM
tahun,0.050339644065404816,0.0035566357,0.04313155793617488
jalur,0.1110885318864868,0.44532582,0.01466449738188961
Status DTKS,0.07518142910736175,0.115768716,0.5436413020067998
Status P3KE,0.07559551379430546,0.019789996,0.1566340071308804
Asal Sekolah,0.0447421578387974,0.007998624,0.03299456375471194
Kab/Kota Sekolah,0.014294327782423913,0.020642228,0.029313740204326644
Provinsi Sekolah,0.0021499079982775352,0.0,0.02744359652412748
Tempat Lahir,0.042743420413201394,0.0036755262,0.0720997731330948
Jenis Kelamin,0.041810781137947804,0.03170827,0.6775482448766564
Alamat Tinggal,0.12826116126677678,0.056660175,0.17770076936943577
Pekerjaan Ayah,0.016524210743876423,0.011854043,0.04303574567093824
Penghasilan Ayah,0.011609757300834965,0.004779053,0.06515066639274888
Status Ayah,0.00485846996903419,0.0,0.060101585684232066
Pekerjaan Ibu,0.011779612964311528,0.009733137,0.048882643738561625
Penghasilan Ibu,0.0093000753712203,0.003922153,0.1061526011577764
Status Ibu,0.0008878509431315544,0.0,0.03719781853791004
Jumlah Tanggungan,0.05173475855484854,0.018387537,0.11889664453069486
Kepemilikan Rumah,0.0047658770276139475,0.013147399,0.3910349923672731
Tahun Perolehan,0.012532569327514271,0.004874999,0.40695697310218676
Sumber Listrik,0.00849424258686137,0.0,0.07397709987859076
Luas Tanah,0.01659963438418552,0.004354209,0.33762080572686565
Luas Bangunan,0.007659350540623519,0.0032817216,0.34936792558549273
Sumber Air,0.00617444843007356,0.0,0.33767214745201873
MCK,0.006027028528819231,0.0041786083,0.12117524807037178
Jarak Pusat Kota (KM),0.00976389822174578,0.007850761,0.21851413929791855
User Pencalonan,0.0,0.0,0.0
Prestasi,0.009483053506654446,0.009981386,0.08237405275883433
SNMPN,0.0,0.0,0.0
SBMPN,0.0,0.0,0.0
Seleksi Mandiri PTN,0.004934927286735806,0.0035392952,0.16427863771976894
SNBP,0.10722989417010846,0.06375089,0.5794049108967734
UTBK-SNBT,0.11317355905390272,0.13123885,0.6137102833027716
Seleksi Mandiri PTS,0.0002599057969201754,0.0,4.0476881106125497e-17
